"user_id"	"event_time"	"meta_data"
"0"	"1544664096282862"	"dc_pre=CJjovpXSm98CFUlGKwodOYgHzQ;u1=https://www.google.com/;u2=article;u3=National;u5=Article;dc_rdid=*;_dc_1=3;~oref=https://www.testsite01.com.au/education/the-top-schools-in-the-2018-hsc-revealed-20181213-p50lxn.html"
"CAESELXSSGKHU87iRU8LDGHorm0"	"1544694338970351"	"dc_pre=CJqD4-rCnN8CFVBLKwod3qYCRw;u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;u7=5fcd741ce2d0b126da9e1e59c476f25f;~oref=https://www.testsite01.com.au/"
"CAESEDsjgVobF8qqPRyvm22VaNQ"	"1544663039322912"	"dc_pre=CLD5-p3Om98CFcZJKwodXcwGwg;u1=4617842802;u2=2384539156;u4=138249792552;u5=728x90;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEDdEBAPKHgir48U9UTPYEU0"	"1544662601684642"	"u1=4617842802;u2=2384539156;u4=138250049686;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"0"	"1544669298920574"	"u1=http://m.facebook.com/;u2=article;u3=Lifestyle;u4=life and relationships;u5=Article;dc_rdid=*;_dc_1=3;~oref=https://www.testsite01.com.au/lifestyle/life-and-relationships/maybe-it-s-the-time-of-year-maybe-it-s-the-tiny-tiring-traumas-20181211-p50lhn.html"
"CAESEK-bJZd0Rp8_0yW9nUGXcd4"	"1544669036055229"	"dc_pre=CK_etMnkm98CFQ-HaAodcCUHsA;u1=4537116216;u2=2406046948;u4=138254010892;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESELNN6eaefoiYRiMToo0vpeA"	"1544671247228100"	"dc_pre=CIiV1efsm98CFQaijgodoEAF-g;u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEHYn6lJg4svkdbZo071Acjs"	"1544693734587985"	"dc_pre=CM3sysrAnN8CFdR6YgodTZIFuA;u1=4513525805;u2=2426015707;u4=138249801644;u5=300x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEJBJD4rg1rxKGZF27bRiQw4"	"1544660873059040"	"dc_pre=CIK6_5TGm98CFRhgKwodg0IJoA;u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;~oref=https://www.testsite01.com.au/"
"CAESEK_nOqkPdr9KwpRv0LKOBos"	"1544676722601641"	"dc_pre=CK-v05qBnN8CFQ8eaAodUL0D2A;u1=4640476506;u2=2415483490;u4=138250380932;u5=728x90;u6=j;~oref=https://www.testsite03.com.au/"
"CAESEL3xdWC2WDZDqfp2e25av9E"	"1544683813070483"	"u1=4537116216;u2=2406046948;u4=138253769622;u5=320x50;u6=j;~oref=https://www.testsite03.com.au/"
"0"	"1544652597719061"	"u1=4513525805;u2=2420374692;u4=138248789574;u5=728x90;u6=j;u7=7e9f483c603d650985cabb38962333be;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESEKS-DRVIpF3dn2DuF06Q3u8"	"1544619613075394"	"dc_pre=CNbp3rqsmt8CFQe9jgodnCQNJw;u1=4662932081;u2=2445812797;u4=138254310937;u5=970x250;u6=j;~oref=https://www.testsite03.com.au/national/nsw/mother-of-children-killed-by-father-on-sydney-s-upper-north-shore-found-dead-20181212-p50lua.html"
"0"	"1544680759407588"	"u1=https://www.testsite03.com.au/;u2=article;u3=Homepage;u5=Homepage;dc_rdid=*;_dc_1=3;~oref=https://www.testsite03.com.au/"
"CAESEMPif50Mut0Nrf9IWu--jXg"	"1544692751137210"	"u1=4513525805;u2=2444571013;u4=138253817279;u5=300x600;u6=j;~oref=https://www.testsite03.com.au/world/europe/uk-suspends-visa-program-for-super-rich-in-crime-crackdown-20181207-p50krl.html"
"CAESEBs1UE1OLMPXgVw3euy-Auk"	"1544693082511354"	"u1=4537116216;u2=2406046948;u4=138254010382;u5=300x250;u6=j;~oref=https://www.testsite02.com.au/"
"CAESECcFkCTefhoYwSeuhJlUG38"	"1544700400406811"	"dc_pre=CJ-F37TZnN8CFdihaAoda6wD5w;u1=4581525309;u2=2401105914;u4=138253279530;u5=970x250;u6=j;~oref=https://www.testsite02.com.au/education/the-top-schools-in-the-2018-hsc-revealed-20181213-p50lxn.html"
"CAESEK321TxlMk2P7dsRHAAXhz8"	"1544671440028192"	"dc_pre=CKKH3MPtm98CFVAWaAodiIkKFw;u1=4584105803;u2=2404312479;u4=138250745608;u5=970x250;u6=j;~oref=https://www.testsite02.com.au/lifestyle/life-and-relationships/women-keep-yourselves-safe-this-holiday-season-in-more-ways-than-one-20181212-p50lv1.html"
"CAESEN152C89bC91ZZO6yJQ-iAM"	"1544662061451726"	"u1=4513525805;u2=2442952711;u4=138253628205;u5=300x250;u6=j;~oref=https://www.testsite02.com.au/politics/federal/no-smoke-and-no-fire-abc-review-was-no-more-than-a-sop-to-one-nation-20181212-p50lsa.html"
"0"	"1544686639052904"	"dc_pre=CNrZlZOmnN8CFYukaAodLDwG6w;u1=4513525805;u2=2434229743;u4=138251396367;u5=300x250;u6=j;~oref=https://www.testsite02.com.au/entertainment/movies/spiderman-into-the-spiderverse-review-a-tangled-web-20181212-h1912v.html"
"CAESEEqpetgBOfTP9zNJWx_Zk0Q"	"1544654498126953"	"dc_pre=CMiXl7Wum98CFQ9lAQodbSsPJA;u1=4513525805;u2=2442952711;u4=138253628205;u5=300x250;u6=j;~oref=https://www.testsite02.com.au/"
"CAESEDJY-U_GEEya26DOE0ZX8Bw"	"1544691635076451"	"dc_pre=CJy0vOG4nN8CFcENaAod1YcF-Q;u1=4537116216;u2=2406046948;u4=138254010736;u5=970x250;u6=j;~oref=https://www.testsite02.com.au/"
"0"	"1544691245075157"	"u1=4513525805;u2=2420374692;u4=138248789574;u5=728x90;u6=j;_dc_1=3;~oref=https://www.testsite02.com.au/"
"CAESEPqAZJNOWdOSfCfL6R-HFYk"	"1544669356232536"	"dc_pre=CP7ei-Llm98CFdWJjwodgDcBQA;u1=4584105803;u2=2404312479;u4=138250568273;u5=300x250;u6=j;~oref=https://www.testsite02.com.au/lifestyle/life-and-relationships/diagnosed-at-36-as-on-the-spectrum-i-half-expected-congratulations-20181211-p50lfb.html"
